contentid,contenttypeid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,cat1,cat2,cat3,tel,firstimage,createdtime,modifiedtime,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,firstimage2,cpyrhtDivCd,mlevel
309293,12,미륵사(부산),부산광역시 금정구 북문로 126,(금성동),6,2,129.0489255467,35.2740066340,A02,A0201,A02010800,,http://tong.visitkorea.or.kr/cms/resource/99/2687599_image2_1.jpg,20071130181145,20250325103121,46237,26,410,HS,HS03,HS030100,http://tong.visitkorea.or.kr/cms/resource/99/2687599_image3_1.jpg,Type3,6
2869595,39,미미루,부산광역시 동래구 온천장로 91-1 (온천동),,6,6,129.0829796339,35.2195328159,A05,A0502,A05020400,,http://tong.visitkorea.or.kr/cms/resource/80/2869580_image2_1.JPG,20221018162953,20250623175841,47709,26,260,FD,FD02,FD020100,http://tong.visitkorea.or.kr/cms/resource/80/2869580_image3_1.JPG,Type3,6
985921,12,미술의거리,부산광역시 중구 신창동4가,,6,15,129.0279265666,35.1006395595,A02,A0203,A02030600,,http://tong.visitkorea.or.kr/cms/resource/89/3552989_image2_1.jpg,20100326021758,20251023143000,48946,26,110,VE,VE04,VE040100,http://tong.visitkorea.or.kr/cms/resource/89/3552989_image3_1.jpg,Type1,6
2776391,39,미청식당,부산광역시 기장군 일광면 기장해안로 1303,,6,3,129.2331904364,35.2603115904,A05,A0502,A05020100,,,20211119191536,20251023143000,46044,26,710,FD,FD01,FD010100,,,6
2789488,28,미포정거장,부산광역시 해운대구 달맞이길62번길 13 (중동),,6,16,129.1728512790,35.1581969059,A03,A0302,A03022700,,http://tong.visitkorea.or.kr/cms/resource/26/2800426_image2_1.jpg,20211208224327,20250828102740,48098,26,350,LS,LS01,LS011900,http://tong.visitkorea.or.kr/cms/resource/26/2800426_image3_1.jpg,Type3,6
2784330,12,미포항,부산광역시 해운대구 중동,,6,16,129.1717291585,35.1580385696,A01,A0101,A01011400,,http://tong.visitkorea.or.kr/cms/resource/22/3336622_image2_1.jpg,20211201192117,20250311113015,48098,26,350,NA,NA02,NA020700,http://tong.visitkorea.or.kr/cms/resource/22/3336622_image3_1.jpg,Type3,6
3532667,32,민락스테이,부산광역시 수영구 민락본동로 28 (민락동),2층 202호,6,12,129.1288384100,35.1592487503,B02,B0201,B02011200,,,20250908125845,20250921220955,48289,26,500,AC,AC03,AC030400,,,6
127149,12,민주공원,부산광역시 중구 민주공원길 19,(영주동),6,15,129.0281096457,35.1093802515,A02,A0202,A02020700,,http://tong.visitkorea.or.kr/cms/resource/47/3498447_image2_1.jpg,20070906090000,20250730154352,48901,26,110,VE,VE03,VE030500,http://tong.visitkorea.or.kr/cms/resource/47/3498447_image3_1.jpg,Type1,6
2868655,39,바로해장,"부산광역시 수영구 광남로94번길 2 (광안동, 광일)",,6,12,129.1146787801,35.1501467300,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/30/2868630_image2_1.jpg,20221017172021,20250620141928,48303,26,500,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/30/2868630_image3_1.jpg,Type3,6
2872574,39,박가네순두부,부산광역시 강서구 신호산단1로98번길 91 (신호동),,6,1,128.8762264158,35.0808278824,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/60/2872560_image2_1.JPG,20221021143845,20250708105334,46760,26,440,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/60/2872560_image3_1.JPG,Type3,6
