grid_x,grid_y,lat,lon
1446,877,34.89381,129.15324
1447,877,34.893627,129.15881
1448,877,34.893448,129.16438
1449,877,34.893265,129.16995
1450,877,34.89308,129.1755
1451,877,34.892902,129.18108
1452,877,34.89272,129.18665
1453,877,34.892536,129.19221
1454,877,34.892353,129.19777
1455,877,34.89217,129.20334
1456,877,34.891987,129.20891
1457,877,34.8918,129.21446
1458,877,34.891617,129.22003
1459,877,34.891434,129.2256
1460,877,34.891247,129.23117
1461,877,34.891064,129.23672
1462,877,34.890877,129.2423
1463,877,34.89069,129.24786
1464,877,34.890503,129.25342
1465,877,34.890316,129.25899
1466,877,34.89013,129.26456
1467,877,34.889942,129.27011
1468,877,34.889755,129.27568
1469,877,34.88957,129.28125
1470,877,34.88938,129.2868
1471,877,34.88919,129.29237
1472,877,34.889004,129.29794
1473,877,34.888813,129.3035
1377,878,34.910103,128.76936
1378,878,34.909946,128.77493
1379,878,34.909786,128.7805
1380,878,34.909626,128.78607
1381,878,34.909466,128.79164
1382,878,34.909306,128.79721
1383,878,34.909145,128.80276
1384,878,34.908985,128.80833
1385,878,34.908825,128.8139
1386,878,34.908665,128.81947
1387,878,34.9085,128.82504
1388,878,34.90834,128.83061
1389,878,34.908176,128.83618
1390,878,34.908012,128.84174
1391,878,34.907852,128.8473
1392,878,34.90769,128.85287
1393,878,34.907524,128.85844
1394,878,34.90736,128.86401
1395,878,34.907196,128.86958
1396,878,34.907032,128.87515
1397,878,34.906868,128.8807
1398,878,34.9067,128.88628
1399,878,34.906536,128.89185
1400,878,34.90637,128.89742
1401,878,34.906204,128.90298
1402,878,34.906036,128.90855
1403,878,34.90587,128.91412
1404,878,34.905704,128.91968
1405,878,34.905537,128.92525
1406,878,34.90537,128.93082
1407,878,34.9052,128.93639
1408,878,34.90503,128.94196
1409,878,34.90486,128.94753
1410,878,34.904694,128.95308
1411,878,34.904522,128.95865
1412,878,34.904354,128.96422
1413,878,34.904182,128.96979
1414,878,34.904015,128.97536
1415,878,34.903843,128.98091
1416,878,34.90367,128.98648
1417,878,34.9035,128.99205
1418,878,34.903328,128.99762
1419,878,34.903156,129.00319
1420,878,34.902985,129.00876
1421,878,34.902813,129.01431
1422,878,34.902637,129.01988
1423,878,34.902466,129.02545
1424,878,34.902294,129.03102
1425,878,34.90212,129.03659
1426,878,34.901943,129.04214
1427,878,34.90177,129.04771
1428,878,34.901596,129.05328
1429,878,34.90142,129.05885
1430,878,34.901245,129.06442
1431,878,34.90107,129.06998
1432,878,34.900894,129.07555
1433,878,34.900715,129.08112
1434,878,34.90054,129.08669
1435,878,34.900364,129.09224
1436,878,34.900185,129.09781
1437,878,34.90001,129.10338
1438,878,34.89983,129.10895
1439,878,34.89965,129.11452
1440,878,34.89947,129.12007
1441,878,34.899292,129.12564
1442,878,34.899113,129.13121
1443,878,34.898933,129.13678
1444,878,34.898754,129.14233
1445,878,34.898575,129.1479
1446,878,34.898396,129.15347
1447,878,34.898212,129.15904
1448,878,34.898033,129.1646
1449,878,34.89785,129.17017
1450,878,34.897667,129.17574
1451,878,34.897488,129.1813
1452,878,34.897305,129.18686
1453,878,34.89712,129.19243
1454,878,34.89694,129.198
1455,878,34.896755,129.20357
1456,878,34.896572,129.20912
1457,878,34.896385,129.21469
1458,878,34.896202,129.22026
1459,878,34.89602,129.22583
1460,878,34.895832,129.23138
1461,878,34.89565,129.23695
1462,878,34.895462,129.24252
1463,878,34.895275,129.24808
1464,878,34.89509,129.25365
1465,878,34.8949,129.25922
1466,878,34.894714,129.26479
1467,878,34.894527,129.27034
1468,878,34.89434,129.27591
1469,878,34.894154,129.28148
1470,878,34.893967,129.28703
1471,878,34.893776,129.2926
1472,878,34.89359,129.29817
1377,879,34.914692,128.76956
1378,879,34.91453,128.77513
1379,879,34.91437,128.7807
1380,879,34.914215,128.78625
1381,879,34.914055,128.79182
1382,879,34.913895,128.7974
1383,879,34.913734,128.80296
1384,879,34.91357,128.80853
1385,879,34.91341,128.8141
1386,879,34.91325,128.81967
1387,879,34.913086,128.82524
1388,879,34.912926,128.83081
1389,879,34.91276,128.83638
1390,879,34.9126,128.84193
1391,879,34.912437,128.8475
1392,879,34.912273,128.85307
1393,879,34.91211,128.85864
1394,879,34.911945,128.86421
1395,879,34.91178,128.86978
1396,879,34.911617,128.87535
1397,879,34.911453,128.88092
1398,879,34.91129,128.88647
1399,879,34.91112,128.89204
1400,879,34.910957,128.89761
1401,879,34.91079,128.90318
1402,879,34.91062,128.90875
1403,879,34.910458,128.91432
1404,879,34.91029,128.91989
1405,879,34.910122,128.92546
1406,879,34.909954,128.93102
1407,879,34.909786,128.93658
1408,879,34.90962,128.94215
1409,879,34.909447,128.94772
1410,879,34.90928,128.9533
1411,879,34.90911,128.95886
1412,879,34.90894,128.96443
1413,879,34.90877,128.96999
1414,879,34.9086,128.97556
1415,879,34.90843,128.98112
1416,879,34.908257,128.9867
1417,879,34.908085,128.99226
1418,879,34.907913,128.99783
1419,879,34.90774,129.00339
1420,879,34.90757,129.00896
1421,879,34.9074,129.01453
1422,879,34.907227,129.0201
1423,879,34.90705,129.02567
1424,879,34.90688,129.03123
1425,879,34.906704,129.03679
1426,879,34.906532,129.04236
1427,879,34.906357,129.04793
1428,879,34.90618,129.0535
1429,879,34.906006,129.05907
1430,879,34.90583,129.06462
1431,879,34.905655,129.07019
1432,879,34.90548,129.07576
1433,879,34.905304,129.08133
1434,879,34.905125,129.0869
1435,879,34.90495,129.09247
1436,879,34.90477,129.09802
1437,879,34.904594,129.10359
1438,879,34.904415,129.10916
1439,879,34.904236,129.11473
1440,879,34.904057,129.1203
1441,879,34.90388,129.12585
1442,879,34.9037,129.13142
1443,879,34.90352,129.137
1444,879,34.90334,129.14256
1445,879,34.90316,129.14812
1446,879,34.90298,129.15369
1447,879,34.902798,129.15926
1448,879,34.90262,129.16483
1449,879,34.902435,129.1704
1450,879,34.902256,129.17595
1451,879,34.902073,129.18152
1452,879,34.90189,129.18709
1453,879,34.901707,129.19266
1454,879,34.901524,129.19821
1455,879,34.90134,129.20378
1456,879,34.901157,129.20935
1457,879,34.90097,129.21492
1458,879,34.900787,129.22047
1459,879,34.900604,129.22604
1460,879,34.900417,129.23161
1461,879,34.900234,129.23718
1462,879,34.900047,129.24274
1463,879,34.89986,129.2483
1464,879,34.899673,129.25388
1465,879,34.899487,129.25945
1466,879,34.8993,129.265
1467,879,34.899113,129.27057
1468,879,34.898926,129.27614
1469,879,34.89874,129.28171
1470,879,34.898552,129.28726
1471,879,34.89836,129.29283
1472,879,34.898174,129.2984
1377,880,34.919277,128.76974
1378,880,34.919117,128.77531
1379,880,34.91896,128.78088
1380,880,34.9188,128.78645
1381,880,34.91864,128.79202
1382,880,34.91848,128.79759
1383,880,34.91832,128.80316
1384,880,34.91816,128.80873
1385,880,34.918,128.8143
1386,880,34.917835,128.81987
